Date,Description,Amount,Balance
03/01/2026,DIRECT DEPOSIT - ACME CORP,3200.00,5420.00
03/02/2026,STARBUCKS #1234,-5.75,5414.25
03/03/2026,WALMART SUPERCENTER #567,-87.42,5326.83
03/05/2026,NETFLIX SUBSCRIPTION,-15.99,5310.84
03/05/2026,SPOTIFY USA,-9.99,5300.85
03/06/2026,SHELL OIL GAS STATION,-42.30,5258.55
03/07/2026,TRANSFER TO SAVINGS,-500.00,4758.55
03/08/2026,"AMAZON.COM, INC",-134.56,4623.99
03/10/2026,AT&T WIRELESS,-85.00,4538.99
03/11/2026,CHIPOTLE MEXICAN GRILL,-12.45,4526.54
03/12/2026,TARGET STORE #890,-63.21,4463.33
03/14/2026,COSTCO WHSE #1234,-215.67,4247.66
03/15/2026,DIRECT DEPOSIT - ACME CORP,3200.00,7447.66
03/15/2026,RENT PAYMENT - ZELLE,-1400.00,6047.66
03/17/2026,UBER TRIP,-18.50,6029.16
03/18/2026,WHOLE FOODS MARKET,-52.33,5976.83
03/20/2026,NETFLIX SUBSCRIPTION,-15.99,5960.84
03/22/2026,CVS PHARMACY,-23.45,5937.39
03/25/2026,ELECTRIC COMPANY PAYMENT,-110.00,5827.39
03/28/2026,STARBUCKS #1234,-6.25,5821.14
